,Instance,vCPU,ECU,Memory (GiB),Instance Storage (GB),Linux/UNIX Usage,Instance_prefix
233,inf1.2xlarge,8,,16 GiB,EBS Only,0.584,inf1
187,r5n.2xlarge,8,,64 GiB,EBS Only,0.596,r5n
31,m6g.4xlarge,16,,64 GiB,EBS Only,0.616,m6g
208,i3.2xlarge,8,31,61 GiB,1 x 1900 NVMe SSD,0.624,i3
179,r5dn.2xlarge,8,,64 GiB,1 x 300 NVMe SSD,0.668,r5dn
93,c5.4xlarge,16,73,32 GiB,EBS Only,0.68,c5
48,m5a.4xlarge,16,,64 GiB,EBS Only,0.688,m5a
225,d2.xlarge,4,14,30.5 GiB,3 x 2000 HDD,0.69,d2
201,z1d.2xlarge,8,45,64 GiB,1 x 300 NVMe SSD,0.744,z1d
136,g3s.xlarge,4,13,30.5 GiB,EBS Only,0.75,g3s
128,g4dn.2xlarge,8,,32 GiB,225 GB NVMe SSD,0.752,g4dn
39,m5.4xlarge,16,70,64 GiB,EBS Only,0.768,m5
102,c5d.4xlarge,16,73,32 GiB,1 x 400 NVMe SSD,0.768,c5d
118,c4.4xlarge,16,62,30 GiB,EBS Only,0.796,c4
87,m4.4xlarge,16,53.5,64 GiB,EBS Only,0.8,m4
56,m5ad.4xlarge,16,,64 GiB,2 x 300 NVMe SSD,0.824,m5ad
139,x1e.xlarge,4,12,122 GiB,1 x 120 SSD,0.834,x1e
111,c5n.4xlarge,16,73,42 GiB,EBS Only,0.864,c5n
124,p2.xlarge,4,16,61 GiB,EBS Only,0.9,p2
62,m5d.4xlarge,16,70,64 GiB,2 x 300 NVMe SSD,0.904,m5d
215,i3en.2xlarge,8,37,64 GiB,2 x 2500 NVMe SSD,0.904,i3en
157,r5a.4xlarge,16,,128 GiB,EBS Only,0.904,r5a
222,h1.4xlarge,16,58,64 GiB,2 x 2000 HDD,0.936,h1
79,m5n.4xlarge,16,,64 GiB,EBS Only,0.952,m5n
148,r5.4xlarge,16,70,128 GiB,EBS Only,1.008,r5
165,r5ad.4xlarge,16,,128 GiB,2 x 300 NVMe SSD,1.048,r5ad
196,r4.4xlarge,16,58,122 GiB,EBS Only,1.064,r4
71,m5dn.4xlarge,16,,64 GiB,2 x 300 NVMe SSD,1.088,m5dn
202,z1d.3xlarge,12,64,96 GiB,1 x 450 NVMe SSD,1.116,z1d
133,g3.4xlarge,16,58,122 GiB,EBS Only,1.14,g3
171,r5d.4xlarge,16,70,128 GiB,2 x 300 NVMe SSD,1.152,r5d
188,r5n.4xlarge,16,,128 GiB,EBS Only,1.192,r5n
129,g4dn.4xlarge,16,,64 GiB,225 GB NVMe SSD,1.204,g4dn
32,m6g.8xlarge,32,,128 GiB,EBS Only,1.232,m6g
209,i3.4xlarge,16,58,122 GiB,2 x 1900 NVMe SSD,1.248,i3
180,r5dn.4xlarge,16,,128 GiB,2 x 300 NVMe SSD,1.336,r5dn
216,i3en.3xlarge,12,,96 GiB,1 x 7500 NVMe SSD,1.356,i3en
49,m5a.8xlarge,32,,128 GiB,EBS Only,1.376,m5a
226,d2.2xlarge,8,28,61 GiB,6 x 2000 HDD,1.38,d2
94,c5.9xlarge,36,139,72 GiB,EBS Only,1.53,c5
40,m5.8xlarge,32,128,128 GiB,EBS Only,1.536,m5
119,c4.8xlarge,36,132,60 GiB,EBS Only,1.591,c4
229,f1.2xlarge,8,31,122 GiB,1 x 470 NVMe SSD,1.65,f1
140,x1e.2xlarge,8,23,244 GiB,1 x 240 SSD,1.668,x1e
103,c5d.9xlarge,36,139,72 GiB,1 x 900 NVMe SSD,1.728,c5d
158,r5a.8xlarge,32,,256 GiB,EBS Only,1.808,r5a
63,m5d.8xlarge,32,128,128 GiB,2 x 600 NVMe SSD,1.808,m5d
33,m6g.12xlarge,48,,192 GiB,EBS Only,1.848,m6g
223,h1.8xlarge,32,97,128 GiB,4 x 2000 HDD,1.872,h1
234,inf1.6xlarge,24,,48 GiB,EBS Only,1.904,inf1
80,m5n.8xlarge,32,,128 GiB,EBS Only,1.904,m5n
112,c5n.9xlarge,36,139,96 GiB,EBS Only,1.944,c5n
88,m4.10xlarge,40,124.5,160 GiB,EBS Only,2.0,m4
149,r5.8xlarge,32,128,256 GiB,EBS Only,2.016,r5
95,c5.12xlarge,48,188,96 GiB,EBS Only,2.04,c5
50,m5a.12xlarge,48,,192 GiB,EBS Only,2.064,m5a
197,r4.8xlarge,32,97,244 GiB,EBS Only,2.128,r4
130,g4dn.8xlarge,32,,128 GiB,900 GB NVMe SSD,2.176,g4dn
72,m5dn.8xlarge,32,,128 GiB,2 x 600 NVMe SSD,2.176,m5dn
203,z1d.6xlarge,24,116,192 GiB,1 x 900 NVMe SSD,2.232,z1d
134,g3.8xlarge,32,97,244 GiB,EBS Only,2.28,g3
172,r5d.8xlarge,32,128,256 GiB,2 x 600 NVMe SSD,2.304,r5d
41,m5.12xlarge,48,168,192 GiB,EBS Only,2.304,m5
